username;date;retweets;favorites;text;geo;mentions;hashtags;id;"permalink
";location
DanScavino;2016-03-13 20:30;1357;2281;"""OHIO: Pete Rose - sends Mr. Trump an autographed baseball: ""PLEASE #MakeAmericaGreatAgain "" https://www. facebook.com/DonaldTrump/po sts/10156765161580725:0 pic.twitter.com/m781srBU9W""";Palm Beach, FL;;#MakeAmericaGreatAgain;"""709220164370374656""";"https://twitter.com/DanScavino/status/709220164370374656
"
LindaSuhler;2016-03-13 20:26;205;205;"""Can't make this crap up. I mean, seriously? PLEASE VOTE #Trump2016 #MakeAmericaGreatAgain http:// bit.ly/22cfun1 pic.twitter.com/AEgYElueLN""";God Bless America!;;#Trump2016 #MakeAmericaGreatAgain;"""709219038350544898""";"https://twitter.com/LindaSuhler/status/709219038350544898
";(40.40383, -77.9464459)
__JessieCarter;2016-03-13 19:39;84;120;"""My 79 yr old lifetime Democrat Grandpa putting @realDonaldTrump signs on side of road in OH #makeamericagreatagain pic.twitter.com/RZW03W32gN""";california.;@realDonaldTrump;#makeamericagreatagain;"""709207220261523457""";"https://twitter.com/__JessieCarter/status/709207220261523457
";(36.7014631, -118.7559973)
Mike_Beacham;2016-03-13 18:08;83;97;"""Yes, they fear him. They have Fleeced America long enough. #MakeAmericaGreatAgain @realDonaldTrump @DonaldJTrumpJr https:// twitter.com/ByersCarol/sta tus/708975467085180928 """;North Carolina;@realDonaldTrump @DonaldJTrumpJr;#MakeAmericaGreatAgain;"""709184408033632257""";"https://twitter.com/Mike_Beacham/status/709184408033632257
";(35.6729639, -79.0392918)
AmyMek;2016-03-13 17:51;239;181;"""Hamas supporter spotted inciting violence at Trump rally! Get there TERRORISTS out of USA! #MakeAmericaGreatAgain pic.twitter.com/zvjWb23VJK""";;;#MakeAmericaGreatAgain;"""709180090328940544""";"https://twitter.com/AmyMek/status/709180090328940544
";
loudobbsnews;2016-03-13 17:32;1138;1646;"""Trump just said,""The Same People Who Said @realDonaldTrump Will Never Run Are Now Asking ""How Can We Stop HIm!"" #MakeAmericaGreatAgain #Dobbs""";New York, NY;@realDonaldTrump;#MakeAmericaGreatAgain #Dobbs;"""709175284801662976""";"https://twitter.com/loudobbsnews/status/709175284801662976
";(40.7305991, -73.9865811)
realDonaldTrump;2016-03-13 17:13;11967;30320;"""Just received from @PeteRose_14 . Thank you Pete! #VoteTrump on Tuesday Ohio! #Trump2016 #MakeAmericaGreatAgain pic.twitter.com/UvP03n7dQq""";New York, NY;@PeteRose_14;#VoteTrump #Trump2016 #MakeAmericaGreatAgain;"""709170599579545600""";"https://twitter.com/realDonaldTrump/status/709170599579545600
";(40.7305991, -73.9865811)
KatrinaPierson;2016-03-13 16:54;183;453;"""Thank you! We're going to #MakeAmericaGreatAgain https:// twitter.com/RobertJohnDavi /status/709159840673767424 """;New York, USA;;#MakeAmericaGreatAgain;"""709165841879666688""";"https://twitter.com/KatrinaPierson/status/709165841879666688
";(40.7305991, -73.9865811)
KEEMSTAR;2016-03-13 12:00;123;738;"""People always ask me on Twitter ""KEEMSTAR why do you support Trump?"" Cus we need to #MakeAmericaGreatAgain""";Buffalo NY / COD Events ;;#MakeAmericaGreatAgain;"""709091751626149889""";"https://twitter.com/KEEMSTAR/status/709091751626149889
";
loudobbsnews;2016-03-13 09:42;1177;1659;"""Clinton-Kasich coughing, Rubio Sick While Trump is Everywhere Campaigning , Getting Stronger...Outworking the Bunch. #MakeAmericaGreatAgain""";New York, NY;;#MakeAmericaGreatAgain;"""709057084546027520""";"https://twitter.com/loudobbsnews/status/709057084546027520
";(40.7305991, -73.9865811)
loudobbsnews;2016-03-13 07:30;780;1068;"""Kasich is a trifle arrogant, a trifle delusional...and a lot rude. Says it's about delegates...has only 63. #MakeAmericaGreatAgain #Dobbs""";New York, NY;;#MakeAmericaGreatAgain #Dobbs;"""709023850168713216""";"https://twitter.com/loudobbsnews/status/709023850168713216
";(40.7305991, -73.9865811)
DanScavino;2016-03-13 06:57;504;901;"""GOOD MORNING CHICAGO, ILLINOIS! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/fqoQlUIlps""";Chicago, IL;;#MakeAmericaGreatAgain #Trump2016;"""709015545409093632""";"https://twitter.com/DanScavino/status/709015545409093632
"
MindYourBsAndPs;2016-03-13 05:41;1;1;""". @RealBenCarson endorses @realDonaldTrump - SNL https:// youtu.be/E--oLFYs9aI via @YouTube #Trump2016 #MakeAmericaGreatAgain""";Austin, Texas;@RealBenCarson @realDonaldTrump @YouTube;#Trump2016 #MakeAmericaGreatAgain;"""708996322922074112""";"https://twitter.com/MindYourBsAndPs/status/708996322922074112
";(30.2711286, -97.7436994)
Steve60712;2016-03-13 00:09;2;0;"""@realDonaldTrump #DrOfCommonSense #JudgeJeanine #1stAmendment WasViolated #Trump2016 #MakeAmericaGreatAgain #trump http:// youtu.be/H4wEcs-8aEc""";Chicago Illinois;@realDonaldTrump;#DrOfCommonSense #JudgeJeanine #1stAmendment #Trump2016 #MakeAmericaGreatAgain #trump;"""708927865329479680""";"https://twitter.com/Steve60712/status/708927865329479680
";(41.8755546, -87.6244211)
Nix020;2016-03-13 00:07;0;0;"""onaangenaam volk, zo op 't eerste gezicht. #MakeAmericaGreatAgain https:// twitter.com/haaretzcom/sta tus/708924334132178945 """;De Pijp;;#MakeAmericaGreatAgain;"""708927438751981568""";"https://twitter.com/Nix020/status/708927438751981568
";(52.4729289, 4.6648034)
LindaSuhler;2016-03-12 21:44;267;223;"""Copy this & share with everyone! And please VOTE #Trump2016 #MakeAmericaGreatAgain http:// tinyurl.com/zsuykcx pic.twitter.com/bmzxTfqxDm""";God Bless America!;;#Trump2016 #MakeAmericaGreatAgain;"""708891422636711938""";"https://twitter.com/LindaSuhler/status/708891422636711938
";(40.40383, -77.9464459)
KatrinaPierson;2016-03-12 20:48;1170;1652;"""Perhaps @realDonaldTrump is more like Reagan than his opponents like to admit. ** https:// youtu.be/MBKDF7H4hyo #MakeAmericaGreatAgain #Trump2016""";New York, USA;@realDonaldTrump;#MakeAmericaGreatAgain #Trump2016;"""708877385823727616""";"https://twitter.com/KatrinaPierson/status/708877385823727616
";(40.7305991, -73.9865811)
_LucidHurricane;2016-03-12 17:58;104;415;"""@Younglionking7 I love your hat! #MakeAmericaGreatAgain !! pic.twitter.com/nStLsFpFTB""";North Carolina, USA;@Younglionking7;#MakeAmericaGreatAgain;"""708834561292013568""";"https://twitter.com/_LucidHurricane/status/708834561292013568
";(35.6729639, -79.0392918)
pacificbear7;2016-03-12 17:21;0;1;"""#Trump #America #BuildTheWall #Ducks #whiteGenocide #Education #BlueLivesMatter #Brexit #MakeAmericaGreatAgain $TSLA pic.twitter.com/kSAJWaPfZ1""";Occupied, Southern California ;;#Trump #America #BuildTheWall #Ducks #whiteGenocide #Education #BlueLivesMatter #Brexit #MakeAmericaGreatAgain;"""708825263660867584""";"https://twitter.com/pacificbear7/status/708825263660867584
";
loudobbsnews;2016-03-12 17:05;1186;1575;"""His Rivals Get Pay Raises if Elected, @realDonaldTrump Has Given Up His Personal LIfe to Serve National Interest. #MakeAmericaGreatAgain""";New York, NY;@realDonaldTrump;#MakeAmericaGreatAgain;"""708821266048933888""";"https://twitter.com/loudobbsnews/status/708821266048933888
";(40.7305991, -73.9865811)
basedmattforney;2016-03-12 16:28;54;70;"""If it's legal in your area, CCW permit holders may want to bring their guns when they vote for Trump on Tuesday. #MakeAmericaGreatAgain""";Chicago;;#MakeAmericaGreatAgain;"""708811928664195072""";"https://twitter.com/basedmattforney/status/708811928664195072
";(41.8755546, -87.6244211)
basedmattforney;2016-03-12 16:26;58;54;"""On Tuesday, Sanders' supporters may stack voting precincts and try to bully Trump voters into silence. #MakeAmericaGreatAgain""";Chicago;;#MakeAmericaGreatAgain;"""708811343701397504""";"https://twitter.com/basedmattforney/status/708811343701397504
";(41.8755546, -87.6244211)
keksec__org;2016-03-12 15:41;219;869;"""@realDonaldTrump Mr Trump, you truly are my greatest ally! #MakeAmericaGreatAgain""";Everywhere;@realDonaldTrump;#MakeAmericaGreatAgain;"""708800232075698176""";"https://twitter.com/keksec__org/status/708800232075698176
";(53.8756494, 27.5301015)
DanScavino;2016-03-12 15:10;1773;2979;"""New FAU Florida poll: Trump: 44% (+23) Rubio: 21% Cruz: 21% Kasich: 9% #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/4zBI26SrvB""";Kansas City, MO;;#MakeAmericaGreatAgain #Trump2016;"""708792428245876736""";"https://twitter.com/DanScavino/status/708792428245876736
"
incorrectpoliti;2016-03-12 15:10;12;8;"""SNOOP SNOOP SNOOP @realDonaldTrump #MakeAmericaGreatAgain Thank you Sir. https:// twitter.com/teed_chris/sta tus/708791872739745792 """;;@realDonaldTrump;#MakeAmericaGreatAgain;"""708792356313636865""";"https://twitter.com/incorrectpoliti/status/708792356313636865
";
DanScavino;2016-03-12 11:56;1530;2541;"""I don't think the #TrumpTrain can be stopped! More momentum- more supporters & more LOVE to #MakeAmericaGreatAgain ! pic.twitter.com/1MV2w9Ecns""";Cleveland I-X Exhibition and Convention Center;;#TrumpTrain #MakeAmericaGreatAgain;"""708743474963734528""";"https://twitter.com/DanScavino/status/708743474963734528
"
JacobRitzic;2016-03-12 11:45;134;364;"""Today was a success #MakeAmericaGreatAgain pic.twitter.com/F5Y3ZUShxn""";The Ridge;;#MakeAmericaGreatAgain;"""708740670916321280""";"https://twitter.com/JacobRitzic/status/708740670916321280
";(40.6314061, -91.2408587573599)
loudobbsnews;2016-03-12 11:28;411;564;"""Cruz, Rubio, Kasich should be upset with Sanders, BLM...creating violence at Trump Rallies! #MakeAmericaGreatAgain https:// twitter.com/AP_Politics/st atus/708688459272216577 """;New York, NY;;#MakeAmericaGreatAgain;"""708736423806029827""";"https://twitter.com/loudobbsnews/status/708736423806029827
";(40.7305991, -73.9865811)
keksec__org;2016-03-12 10:36;96;434;"""@realDonaldTrump Hillary should just end her campaign right now. Pathetic. #MakeAmericaGreatAgain""";Everywhere;@realDonaldTrump;#MakeAmericaGreatAgain;"""708723424458317824""";"https://twitter.com/keksec__org/status/708723424458317824
";(53.8756494, 27.5301015)
Near_Chaos;2016-03-12 10:32;0;0;"""GOP wussies. #MakeAmericaGreatAgain https:// twitter.com/AP_Politics/st atus/708688459272216577 """;Hollywood, California;;#MakeAmericaGreatAgain;"""708722440466083841""";"https://twitter.com/Near_Chaos/status/708722440466083841
";(34.1028268, -118.3299898)
realDonaldTrump;2016-03-12 10:02;4462;12203;"""The rally in Cincinnati is ON. Media put out false reports that it was cancelled! #MakeAmericaGreatAgain #Trump2016""";New York, NY;;#MakeAmericaGreatAgain #Trump2016;"""708714849027497984""";"https://twitter.com/realDonaldTrump/status/708714849027497984
";(40.7305991, -73.9865811)
realDonaldTrump;2016-03-12 10:02;6745;18874;"""Thank you Dayton, Ohio! 20,000 supporters- largest in airport history! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/ry2p5qGcFt""";New York, NY;;#MakeAmericaGreatAgain #Trump2016;"""708714838520762369""";"https://twitter.com/realDonaldTrump/status/708714838520762369
";(40.7305991, -73.9865811)
loudobbsnews;2016-03-12 08:56;543;952;"""Secret Service Acted Swiftly To Protect Trump, God Bless Them! @realDonaldTrump #MakeAmericaGreatAgain #Dobbs https:// twitter.com/IMHObyJJ/statu s/708695716974059520 """;New York, NY;@realDonaldTrump;#MakeAmericaGreatAgain #Dobbs;"""708698157358694401""";"https://twitter.com/loudobbsnews/status/708698157358694401
";(40.7305991, -73.9865811)
